name,size,percent_used,index_scans,seq_scans,unused
public.idx_vendors_preferred,8192 bytes,0%,0,0,t
public.idx_invitations_tenant,8192 bytes,0%,0,0,t
public.idx_recipe_ingredients_recipe_id,8192 bytes,100%,4851,0,f
public.trusted_circle_unique_pair,8192 bytes,100%,5,0,f
public.idx_cal_entries_blocking,8192 bytes,0%,0,0,t
public.chef_post_reactions_pkey,8192 bytes,0%,0,0,t
public.idx_goal_snapshots_goal_date,8192 bytes,0%,0,0,t
public.chef_story_reactions_story_id_chef_id_key,8192 bytes,100%,17,0,f
public.idx_direct_outreach_client,8192 bytes,100%,183,0,f
public.idx_tip_distributions_tenant_date,8192 bytes,0%,0,0,t
public.idx_inv_tx_created,8192 bytes,100%,17,0,f
public.idx_event_shares_token,8192 bytes,100%,79,0,f
public.idx_guest_comps_guest,8192 bytes,0%,0,0,t
public.public_food_recall_snapshots_pkey,8192 bytes,0%,0,0,t
public.public_food_recall_snapshots_recall_number_key,8192 bytes,0%,0,0,t
public.event_equipment_rentals_pkey,8192 bytes,0%,0,0,t
public.event_alcohol_logs_pkey,8192 bytes,0%,0,0,t
public.idx_chef_channel_memberships_chef,8192 bytes,100%,31,0,f
public.client_notes_pkey,8192 bytes,0%,0,0,t
public.social_media_assets_pkey,8192 bytes,0%,0,0,t
public.idx_rih_schedule,8192 bytes,0%,0,0,t
public.zapier_webhook_deliveries_pkey,8192 bytes,0%,0,0,t
public.idx_vendor_price_alert_settings_vendor,8192 bytes,0%,0,0,t
public.idx_display_case_items_tenant,8192 bytes,0%,0,0,t
public.quote_addons_quote_id_addon_id_key,8192 bytes,0%,0,0,t
public.idx_sms_messages_tenant,8192 bytes,0%,0,0,t
public.idx_gift_cards_tenant_code,8192 bytes,0%,0,0,t
public.idx_admin_audit_log_ts,8192 bytes,100%,8,0,f
public.idx_mileage_chef_date,8192 bytes,100%,106,0,f
public.idx_batches_fifo,8192 bytes,0%,0,0,t
public.idx_growth_checkins_tenant,8192 bytes,0%,0,0,t
public.event_leftover_details_pkey,8192 bytes,0%,0,0,t
public.scheduled_calls_event_idx,8192 bytes,100%,12,0,f
public.idx_daily_plan_drafts_status,8192 bytes,0%,0,0,t
public.idx_event_share_invite_events_type,8192 bytes,0%,0,0,t
public.cash_drawer_movements_commerce_payment_id_key,8192 bytes,0%,0,0,t
public.product_modifier_groups_pkey,8192 bytes,0%,0,0,t
public.idx_kds_tickets_station_status,8192 bytes,0%,0,0,t
public.idx_pos_metric_snapshots_tenant_date,8192 bytes,100%,21,0,f
public.idx_chef_follows_following,8192 bytes,100%,29,0,f
public.idx_booking_date_overrides_chef_date,8192 bytes,0%,0,0,t
public.idx_shift_swap_requests_tenant,8192 bytes,100%,1,0,f
